Course,Difficulty,Rating
Introduction to Programming,HIGH,2.8333333333333335
Web Development Fundamentals,MEDIUM,3.75
Data Structures and Algorithms,HIGH,2.375
Introduction to Artificial Intelligence,LOW,2.75
Machine Learning Basics,LOW,2.857142857142857
Database Systems and Concepts,LOW,3.0
Computer Networks and Communication,LOW,4.0
Cloud Computing Fundamentals,HIGH,2.6666666666666665
Cybersecurity Basics,MEDIUM,3.0
Operating Systems and Systems Programming,HIGH,3.3333333333333335
Mobile Application Development,LOW,2.0
Software Engineering Principles,MEDIUM,3.25
Introduction to Computer Graphics,MEDIUM,2.3333333333333335
Game Development Basics,MEDIUM,3.6
Virtual and Augmented Reality,HIGH,2.5714285714285716
Human-Computer Interaction,HIGH,3.0
User Experience Design,MEDIUM,2.6666666666666665
Digital Marketing Fundamentals,MEDIUM,3.25
Social Media Marketing,MEDIUM,2.0
Search Engine Optimization,LOW,3.6
Content Marketing and Strategy,MEDIUM,3.2
Branding and Identity,MEDIUM,2.3333333333333335
Introduction to Journalism,MEDIUM,3.5714285714285716
Investigative Journalism,HIGH,2.3333333333333335
Media Ethics and Law,MEDIUM,3.6666666666666665
Public Speaking and Communication,MEDIUM,1.6666666666666667
Creative Writing,HIGH,3.6
Screenwriting Basics,HIGH,1.0
Fiction Writing Techniques,LOW,2.2857142857142856
Nonfiction Writing Techniques,LOW,3.8
History of Philosophy,LOW,2.75
Ethics and Moral Philosophy,MEDIUM,2.875
Epistemology and Metaphysics,MEDIUM,4.0
Political Philosophy,MEDIUM,3.1666666666666665
Existentialism and Phenomenology,LOW,1.5
Introduction to Psychology,LOW,3.1666666666666665
Abnormal Psychology,MEDIUM,4.333333333333333
Social Psychology,HIGH,3.2857142857142856
Cognitive Psychology,HIGH,2.2
Behavioral Neuroscience.,HIGH,2.3333333333333335
